X,Y,Z,WaypointIndex
320071.93197076244,6399868.078054329,52.02941916671911,110
320072.8729470208,6399868.8561088955,53.38357683202253,111
320073.55634060386,6399868.926740293,52.02509064573954,112
320073.5192969857,6399870.306179883,50.664518542364135,113
320074.99224318686,6399870.7962866295,50.662811182904164,114
320075.781795805,6399871.215761978,52.0197729410979,115
320076.2496608869,6399872.163316703,50.6602996658579,116
320077.4373782286,6399872.441451449,50.659702817831494,117
320078.39957026497,6399871.908173115,50.6601310613187,118
320079.0400747652,6399871.902974158,52.01790244228562,119
320080.024111844,6399872.487910434,50.65915667055512,120
320081.3117831041,6399872.218741631,52.01715665553811,121
320082.2614108248,6399872.493572658,50.658695117550046,122
320082.8208901922,6399873.638162228,50.657925825983334,123
320083.62368438655,6399874.291768218,50.65770046625172,124
320084.77410072344,6399874.166878734,52.01576555910701,125
320084.9707997757,6399875.135788931,53.37350192004662,126
320085.9446467159,6399876.448138836,52.015094732642694,127
320086.7217946039,6399876.791578544,53.373111211943126,128
320086.4934396124,6399877.770751367,52.014850268073204,129
320087.24502069183,6399878.963401972,52.01469342855653,130
320088.3766541605,6399879.047833314,52.01480011780683,131
320089.06635368086,6399879.543956633,53.3728742330064,132
320089.7460187243,6399880.837654356,53.37278500602217,133
320091.10696265317,6399880.891545674,52.01486824945623,134
320091.75264025317,6399881.298524572,53.37296832152285,135
320092.109771941,6399882.599258909,53.37288250747416,136
320093.13709119376,6399883.005071349,53.37302600870241,137
320093.50869836967,6399883.801479299,52.01498071125805,138
320093.6985295423,6399885.094116215,52.01492221759847,139
320094.79204747715,6399885.343872188,52.01510676712397,140
320095.2254123239,6399885.690975651,50.657100342276756,141
320095.43245549785,6399886.545108007,50.65709947546705,142
320096.3702703089,6399887.238147803,50.65726760020818,143
320097.43218017486,6399887.103509724,52.015607797540056,144
320097.7548541359,6399887.945675024,53.373695170766894,145
320098.71257612336,6399888.889034502,52.015928195341814,146
320099.3476241498,6399888.990228681,53.374207881488836,147
320100.7243660146,6399888.703530758,53.375045079454125,148
320101.7586743142,6399889.452827893,52.01788229413135,149
